index_time,sectionID,time stamp,delay,density,flow,speed,travel time,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
2,1190,3000,-1,197.49,0,-1,-1,69,3,17,1,2,84,3,1,2,21,29,38,88,1,1,0
3,1190,4000,-1,197.49,0,-1,-1,69,3,17,1,2,84,3,1,2,21,29,38,88,1,1,0
4,1190,5000,-1,197.49,0,-1,-1,69,3,17,1,2,84,3,1,2,21,29,38,88,1,1,0
5,1190,10000,-1,197.49,0,-1,-1,69,3,17,1,2,84,3,1,2,21,29,38,88,1,1,0
0,1190,1000,19.53,96.6,138,31.18,31.05,69,3,17,1,2,84,3,1,2,20,30,38,88,1,1,0
1,1190,2000,-1,181.4,0,-1,-1,69,3,17,1,2,84,3,1,2,20,30,38,88,1,1,0
2,1190,3000,-1,197.49,0,-1,-1,69,3,17,1,2,84,3,1,2,20,30,38,88,1,1,0
3,1190,4000,-1,197.49,0,-1,-1,69,3,17,1,2,84,3,1,2,20,30,38,88,1,1,0
4,1190,5000,-1,197.49,0,-1,-1,69,3,17,1,2,84,3,1,2,20,30,38,88,1,1,0
5,1190,10000,-1,197.49,0,-1,-1,69,3,17,1,2,84,3,1,2,20,30,38,88,1,1,0
0,1190,1000,19.53,96.6,138,31.18,31.05,69,3,17,1,2,84,3,1,2,20,30,38,87,2,1,0
1,1190,2000,-1,181.4,0,-1,-1,69,3,17,1,2,84,3,1,2,20,30,38,87,2,1,0
2,1190,3000,-1,197.49,0,-1,-1,69,3,17,1,2,84,3,1,2,20,30,38,87,2,1,0
3,1190,4000,-1,197.49,0,-1,-1,69,3,17,1,2,84,3,1,2,20,30,38,87,2,1,0
4,1190,5000,-1,197.49,0,-1,-1,69,3,17,1,2,84,3,1,2,20,30,38,87,2,1,0
5,1190,10000,-1,197.49,0,-1,-1,69,3,17,1,2,84,3,1,2,20,30,38,87,2,1,0
0,1190,1000,19.53,96.6,138,31.18,31.05,69,3,17,1,3,84,2,1,2,20,30,38,87,2,1,0
1,1190,2000,-1,181.4,0,-1,-1,69,3,17,1,3,84,2,1,2,20,30,38,87,2,1,0
2,1190,3000,-1,197.49,0,-1,-1,69,3,17,1,3,84,2,1,2,20,30,38,87,2,1,0
3,1190,4000,-1,197.49,0,-1,-1,69,3,17,1,3,84,2,1,2,20,30,38,87,2,1,0
4,1190,5000,-1,197.49,0,-1,-1,69,3,17,1,3,84,2,1,2,20,30,38,87,2,1,0
5,1190,10000,-1,197.49,0,-1,-1,69,3,17,1,3,84,2,1,2,20,30,38,87,2,1,0
0,1190,1000,19.53,96.6,138,31.18,31.05,69,4,16,1,3,84,2,1,2,20,30,38,87,2,1,0
1,1190,2000,-1,181.4,0,-1,-1,69,4,16,1,3,84,2,1,2,20,30,38,87,2,1,0
2,1190,3000,-1,197.49,0,-1,-1,69,4,16,1,3,84,2,1,2,20,30,38,87,2,1,0
3,1190,4000,-1,197.49,0,-1,-1,69,4,16,1,3,84,2,1,2,20,30,38,87,2,1,0
4,1190,5000,-1,197.49,0,-1,-1,69,4,16,1,3,84,2,1,2,20,30,38,87,2,1,0
5,1190,10000,-1,197.49,0,-1,-1,69,4,16,1,3,84,2,1,2,20,30,38,87,2,1,0
0,1190,1000,19.53,96.6,138,31.18,31.05,69,4,16,1,4,84,2,0,2,20,30,38,87,2,1,0
1,1190,2000,-1,181.4,0,-1,-1,69,4,16,1,4,84,2,0,2,20,30,38,87,2,1,0
2,1190,3000,-1,197.49,0,-1,-1,69,4,16,1,4,84,2,0,2,20,30,38,87,2,1,0
3,1190,4000,-1,197.49,0,-1,-1,69,4,16,1,4,84,2,0,2,20,30,38,87,2,1,0
4,1190,5000,-1,197.49,0,-1,-1,69,4,16,1,4,84,2,0,2,20,30,38,87,2,1,0
5,1190,10000,-1,197.49,0,-1,-1,69,4,16,1,4,84,2,0,2,20,30,38,87,2,1,0
0,1190,1000,19.53,96.6,138,31.18,31.05,69,4,17,0,4,84,2,0,2,20,30,38,87,2,1,0
1,1190,2000,-1,181.4,0,-1,-1,69,4,17,0,4,84,2,0,2,20,30,38,87,2,1,0
2,1190,3000,-1,197.49,0,-1,-1,69,4,17,0,4,84,2,0,2,20,30,38,87,2,1,0
3,1190,4000,-1,197.49,0,-1,-1,69,4,17,0,4,84,2,0,2,20,30,38,87,2,1,0
4,1190,5000,-1,197.49,0,-1,-1,69,4,17,0,4,84,2,0,2,20,30,38,87,2,1,0
5,1190,10000,-1,197.49,0,-1,-1,69,4,17,0,4,84,2,0,2,20,30,38,87,2,1,0
0,1190,1000,26.55,96.25,150,27.82,38.05,70,4,16,0,4,84,2,0,2,20,30,38,87,2,1,0
1,1190,2000,-1,181.4,0,-1,-1,70,4,16,0,4,84,2,0,2,20,30,38,87,2,1,0
2,1190,3000,-1,197.49,0,-1,-1,70,4,16,0,4,84,2,0,2,20,30,38,87,2,1,0
3,1190,4000,-1,197.49,0,-1,-1,70,4,16,0,4,84,2,0,2,20,30,38,87,2,1,0
4,1190,5000,-1,197.49,0,-1,-1,70,4,16,0,4,84,2,0,2,20,30,38,87,2,1,0
5,1190,10000,-1,197.49,0,-1,-1,70,4,16,0,4,84,2,0,2,20,30,38,87,2,1,0
0,1190,1000,26.55,96.25,150,27.82,38.05,70,4,16,0,4,84,2,0,2,20,30,38,86,3,1,0
1,1190,2000,-1,181.4,0,-1,-1,70,4,16,0,4,84,2,0,2,20,30,38,86,3,1,0
2,1190,3000,-1,197.49,0,-1,-1,70,4,16,0,4,84,2,0,2,20,30,38,86,3,1,0
3,1190,4000,-1,197.49,0,-1,-1,70,4,16,0,4,84,2,0,2,20,30,38,86,3,1,0
4,1190,5000,-1,197.49,0,-1,-1,70,4,16,0,4,84,2,0,2,20,30,38,86,3,1,0
5,1190,10000,-1,197.49,0,-1,-1,70,4,16,0,4,84,2,0,2,20,30,38,86,3,1,0
0,1190,1000,26.55,96.25,150,27.82,38.05,70,4,16,0,4,84,2,0,2,20,30,38,86,2,2,0
1,1190,2000,-1,181.4,0,-1,-1,70,4,16,0,4,84,2,0,2,20,30,38,86,2,2,0
2,1190,3000,-1,197.49,0,-1,-1,70,4,16,0,4,84,2,0,2,20,30,38,86,2,2,0
3,1190,4000,-1,197.49,0,-1,-1,70,4,16,0,4,84,2,0,2,20,30,38,86,2,2,0
4,1190,5000,-1,197.49,0,-1,-1,70,4,16,0,4,84,2,0,2,20,30,38,86,2,2,0
5,1190,10000,-1,197.49,0,-1,-1,70,4,16,0,4,84,2,0,2,20,30,38,86,2,2,0
0,1190,1000,30.08,94.28,156,26.07,41.57,71,4,15,0,4,84,2,0,2,20,30,38,86,2,2,0
1,1190,2000,-1,179.31,0,-1,-1,71,4,15,0,4,84,2,0,2,20,30,38,86,2,2,0
2,1190,3000,-1,197.49,0,-1,-1,71,4,15,0,4,84,2,0,2,20,30,38,86,2,2,0
3,1190,4000,-1,197.49,0,-1,-1,71,4,15,0,4,84,2,0,2,20,30,38,86,2,2,0
4,1190,5000,-1,197.49,0,-1,-1,71,4,15,0,4,84,2,0,2,20,30,38,86,2,2,0
5,1190,10000,-1,197.49,0,-1,-1,71,4,15,0,4,84,2,0,2,20,30,38,86,2,2,0
0,1190,1000,30.08,94.28,156,26.07,41.57,71,4,15,0,4,84,2,0,2,20,30,38,86,1,2,1
1,1190,2000,-1,179.31,0,-1,-1,71,4,15,0,4,84,2,0,2,20,30,38,86,1,2,1
2,1190,3000,-1,197.49,0,-1,-1,71,4,15,0,4,84,2,0,2,20,30,38,86,1,2,1
3,1190,4000,-1,197.49,0,-1,-1,71,4,15,0,4,84,2,0,2,20,30,38,86,1,2,1
4,1190,5000,-1,197.49,0,-1,-1,71,4,15,0,4,84,2,0,2,20,30,38,86,1,2,1
5,1190,10000,-1,197.49,0,-1,-1,71,4,15,0,4,84,2,0,2,20,30,38,86,1,2,1
0,1190,1000,30.08,94.28,156,26.07,41.57,71,3,16,0,4,84,2,0,2,20,30,38,86,1,2,1
1,1190,2000,-1,179.31,0,-1,-1,71,3,16,0,4,84,2,0,2,20,30,38,86,1,2,1
2,1190,3000,-1,197.49,0,-1,-1,71,3,16,0,4,84,2,0,2,20,30,38,86,1,2,1
3,1190,4000,-1,197.49,0,-1,-1,71,3,16,0,4,84,2,0,2,20,30,38,86,1,2,1
4,1190,5000,-1,197.49,0,-1,-1,71,3,16,0,4,84,2,0,2,20,30,38,86,1,2,1
5,1190,10000,-1,197.49,0,-1,-1,71,3,16,0,4,84,2,0,2,20,30,38,86,1,2,1
0,1190,1000,30.08,94.28,156,26.07,41.57,71,3,16,0,4,83,2,1,2,20,30,38,86,1,2,1
1,1190,2000,-1,179.31,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,86,1,2,1
2,1190,3000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,86,1,2,1
3,1190,4000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,86,1,2,1
4,1190,5000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,86,1,2,1
5,1190,10000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,86,1,2,1
0,1190,1000,30.08,94.28,156,26.07,41.57,71,3,16,0,4,83,2,1,2,20,30,38,86,1,3,0
1,1190,2000,-1,179.31,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,86,1,3,0
2,1190,3000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,86,1,3,0
3,1190,4000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,86,1,3,0
4,1190,5000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,86,1,3,0
5,1190,10000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,86,1,3,0
0,1190,1000,30.08,94.28,156,26.07,41.57,71,3,15,1,4,83,2,1,2,20,30,38,86,1,3,0
1,1190,2000,-1,179.31,0,-1,-1,71,3,15,1,4,83,2,1,2,20,30,38,86,1,3,0
2,1190,3000,-1,197.49,0,-1,-1,71,3,15,1,4,83,2,1,2,20,30,38,86,1,3,0
3,1190,4000,-1,197.49,0,-1,-1,71,3,15,1,4,83,2,1,2,20,30,38,86,1,3,0
4,1190,5000,-1,197.49,0,-1,-1,71,3,15,1,4,83,2,1,2,20,30,38,86,1,3,0
5,1190,10000,-1,197.49,0,-1,-1,71,3,15,1,4,83,2,1,2,20,30,38,86,1,3,0
0,1190,1000,30.08,94.28,156,26.07,41.57,71,3,16,0,4,83,2,1,2,20,30,38,86,1,3,0
1,1190,2000,-1,179.31,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,86,1,3,0
2,1190,3000,-1,197.49,0,-1,-1,71,3,16,0,4,83,2,1,2,20,30,38,86,1,3,0
