started at Mon Sep 30 09:53:52 2019
GenerationID,MaxFitness,MinFitness,Mean,STD,time
started at Mon Sep 30 09:56:07 2019
GenerationID,MaxFitness,MinFitness,Mean,STD,time
started at Mon Sep 30 11:34:46 2019
GenerationID,MaxFitness,MinFitness,Mean,STD,time
started at Mon Sep 30 11:39:51 2019
GenerationID,MaxFitness,MinFitness,Mean,STD,time
started at Mon Sep 30 11:42:44 2019
GenerationID,MaxFitness,MinFitness,Mean,STD,time
started at Mon Sep 30 11:45:47 2019
GenerationID,MaxFitness,MinFitness,Mean,STD,time
started at Mon Sep 30 11:46:15 2019
GenerationID,MaxFitness,MinFitness,Mean,STD,time
started at Mon Sep 30 11:49:06 2019
GenerationID,MaxFitness,MinFitness,Mean,STD,time
started at Mon Sep 30 11:51:16 2019
GenerationID,MaxFitness,MinFitness,Mean,STD,time
started at Mon Sep 30 11:52:31 2019
GenerationID,MaxFitness,MinFitness,Mean,STD,time
started at Mon Sep 30 11:59:50 2019
GenerationID,MaxFitness,MinFitness,Mean,STD,time
started at Tue Oct  1 11:02:32 2019
GenerationID,MaxFitness,MinFitness,Mean,STD,time
started at Tue Oct  1 11:46:19 2019
GenerationID,MaxFitness,MinFitness,Mean,STD,time
started at Tue Oct  1 11:48:56 2019
GenerationID,MaxFitness,MinFitness,Mean,STD,time
15,-6670.509277,-6909.722168,-6677.054199,35.694241,Wed Oct 30 11:10:43 2019
16,-6670.509277,-6932.370117,-6676.141602,31.004101,Wed Oct 30 11:11:18 2019
17,-6670.509277,-6970.556641,-6681.761719,51.401630,Wed Oct 30 11:11:53 2019
18,-6670.509277,-6933.212402,-6676.305664,31.278011,Wed Oct 30 11:12:27 2019
19,-6670.509277,-6731.343750,-6672.842773,10.163658,Wed Oct 30 11:13:02 2019
20,-6670.509277,-6737.373535,-6673.058105,11.310286,Wed Oct 30 11:13:37 2019
finish atWed Oct 30 11:13:37 2019
started at Wed Oct 30 11:29:27 2019
GenerationID,MaxFitness,MinFitness,Mean,STD,time
1,-6473.786621,-7016.835938,-6636.621582,124.750328,Wed Oct 30 11:30:03 2019
2,-6473.727539,-7064.849121,-6598.555664,109.781746,Wed Oct 30 11:30:39 2019
3,-6473.727539,-6651.158691,-6545.189941,42.989265,Wed Oct 30 11:31:15 2019
4,-6473.727539,-6586.371582,-6525.396484,36.493969,Wed Oct 30 11:31:51 2019
5,-6477.746582,-6644.770508,-6510.389648,31.190762,Wed Oct 30 11:32:26 2019
6,-6477.746582,-6579.983398,-6502.621582,17.058645,Wed Oct 30 11:33:01 2019
7,-6477.746582,-6579.983398,-6503.193848,16.720074,Wed Oct 30 11:33:36 2019
